Order ID,Order Date,Customer ID,Product ID,Quantity,Sales,Discount,Profit
ORD-2024-0005,2024-01-06,C068,P035,2,40,0,13.5
ORD-2024-0006,2024-01-06,C020,P021,5,247.5,0.1,103.5
ORD-2024-0007,2024-01-08,C087,P009,2,2468.1,0.05,893.6
ORD-2024-0009,2024-01-15,C008,P013,5,1562.75,0.05,613.75
ORD-2024-0002,2024-01-16,C004,P030,1,269.1,0.1,95.1
ORD-2024-0008,2024-01-17,C018,P025,3,37.8,0.1,10.8
ORD-2024-0003,2024-01-20,C019,P014,2,358,0,146.5
ORD-2024-0004,2024-01-21,C036,P001,2,1188.3,0.15,333.8
ORD-2024-0010,2024-01-25,C042,P030,2,598,0,257.5
ORD-2024-0001,2024-01-29,C048,P011,1,228.65,0.15,70.65
ORD-2024-0016,2024-02-03,C006,P004,2,74.1,0.05,23.6
ORD-2024-0019,2024-02-05,C011,P014,1,161.1,0.1,47.1
ORD-2024-0017,2024-02-06,C048,P028,4,119,0.15,41.5
ORD-2024-0011,2024-02-10,C026,P006,4,212.4,0.1,82.9
ORD-2024-0021,2024-02-16,C084,P033,3,39,0,12
ORD-2024-0014,2024-02-18,C074,P025,3,39.9,0.05,12.9
ORD-2024-0015,2024-02-18,C063,P025,1,12.6,0.1,-1.4
ORD-2024-0012,2024-02-21,C074,P027,2,45.9,0.15,11.4
ORD-2024-0020,2024-02-21,C088,P029,2,322.2,0.1,127.7
ORD-2024-0013,2024-02-29,C010,P024,5,68,0.15,13
ORD-2024-0018,2024-02-29,C018,P008,1,89,0,31
ORD-2024-0031,2024-03-03,C041,P021,5,275,0,131
ORD-2024-0026,2024-03-08,C003,P014,1,179,0,65
ORD-2024-0022,2024-03-09,C060,P030,1,239.2,0.2,65.2
ORD-2024-0023,2024-03-10,C016,P021,1,52.25,0.05,10.25
ORD-2024-0032,2024-03-16,C061,P032,2,32,0,9.5
ORD-2024-0027,2024-03-22,C028,P005,3,321.3,0.1,119.3
ORD-2024-0033,2024-03-24,C016,P033,1,13,0,-1
ORD-2024-0028,2024-03-25,C004,P026,2,42,0,13.5
ORD-2024-0030,2024-03-26,C007,P026,2,35.7,0.15,7.2
ORD-2024-0025,2024-03-27,C045,P034,2,20.9,0.05,2.4
ORD-2024-0024,2024-03-28,C066,P009,1,1299,0,506
ORD-2024-0029,2024-03-28,C008,P032,4,57.6,0.1,20.1
ORD-2024-0044,2024-04-06,C006,P012,1,399,0,156
ORD-2024-0040,2024-04-07,C029,P022,1,49,0,12
ORD-2024-0043,2024-04-08,C012,P015,3,417,0,180
ORD-2024-0034,2024-04-16,C050,P013,3,888.3,0.1,312.3
ORD-2024-0035,2024-04-20,C022,P032,2,32,0,9.5
ORD-2024-0045,2024-04-21,C019,P002,3,2967.3,0.1,911.3
ORD-2024-0039,2024-04-23,C008,P002,3,3297,0,1241
ORD-2024-0037,2024-04-24,C006,P030,1,239.2,0.2,65.2
ORD-2024-0041,2024-04-24,C084,P021,1,55,0,13
ORD-2024-0042,2024-04-24,C029,P014,1,143.2,0.2,29.2
ORD-2024-0038,2024-04-26,C009,P004,2,66.3,0.15,15.8
ORD-2024-0036,2024-04-29,C024,P008,4,356,0,158.5
ORD-2024-0050,2024-05-03,C048,P017,1,251.1,0.1,88.1
ORD-2024-0058,2024-05-04,C034,P002,4,3956.4,0.1,1218.9
ORD-2024-0052,2024-05-10,C008,P012,2,798,0,323.5
ORD-2024-0056,2024-05-14,C019,P005,1,107.1,0.1,32.1
ORD-2024-0055,2024-05-21,C002,P031,1,18,0,2
ORD-2024-0048,2024-05-22,C008,P017,2,530.1,0.05,220.6
ORD-2024-0053,2024-05-22,C078,P018,1,629.1,0.1,221.1
ORD-2024-0054,2024-05-22,C028,P032,2,32,0,9.5
ORD-2024-0046,2024-05-23,C016,P028,2,59.5,0.15,17
ORD-2024-0051,2024-05-24,C006,P026,4,71.4,0.15,21.9
ORD-2024-0047,2024-05-26,C001,P032,3,43.2,0.1,13.2
ORD-2024-0049,2024-05-29,C063,P007,1,69,0,25
ORD-2024-0057,2024-05-30,C022,P018,2,1398,0,598.5
ORD-2024-0069,2024-06-01,C009,P032,1,13.6,0.15,-1.4
ORD-2024-0060,2024-06-02,C016,P003,4,642.2,0.05,244.7
ORD-2024-0068,2024-06-03,C080,P018,3,2097,0,906
ORD-2024-0064,2024-06-09,C074,P027,2,48.6,0.1,14.1
ORD-2024-0061,2024-06-11,C080,P022,2,98,0,40.5
ORD-2024-0066,2024-06-16,C008,P028,2,70,0,27.5
ORD-2024-0067,2024-06-16,C008,P033,1,12.35,0.05,-1.65
ORD-2024-0071,2024-06-16,C067,P034,3,31.35,0.05,7.35
ORD-2024-0059,2024-06-20,C016,P021,1,46.75,0.15,4.75
ORD-2024-0063,2024-06-25,C016,P022,3,132.3,0.1,54.3
ORD-2024-0065,2024-06-27,C046,P016,2,933.3,0.15,293.8
ORD-2024-0070,2024-06-27,C030,P015,5,625.5,0.1,241.5
ORD-2024-0062,2024-06-29,C022,P013,5,1645,0,696
ORD-2024-0075,2024-07-01,C016,P031,2,36,0,11.5
ORD-2024-0072,2024-07-02,C045,P007,1,69,0,25
ORD-2024-0084,2024-07-03,C048,P011,3,645.6,0.2,194.6
ORD-2024-0082,2024-07-06,C006,P022,3,139.65,0.05,61.65
ORD-2024-0074,2024-07-08,C008,P016,1,494.1,0.1,166.1
ORD-2024-0077,2024-07-08,C038,P011,2,538,0,233.5
ORD-2024-0078,2024-07-08,C009,P001,2,1398,0,543.5
ORD-2024-0080,2024-07-11,C066,P022,2,98,0,40.5
ORD-2024-0076,2024-07-12,C053,P033,2,23.4,0.1,2.9
ORD-2024-0083,2024-07-12,C032,P007,2,110.4,0.2,33.9
ORD-2024-0081,2024-07-26,C043,P016,3,1317.6,0.2,366.6
ORD-2024-0079,2024-07-29,C001,P031,1,15.3,0.15,-0.7
ORD-2024-0073,2024-07-31,C082,P036,2,14,0,-1.5
